file1,start1,end1,file2,start2,end2,classification,notes
3911987_0_38_53.java,1,16,Compiere_330_Source/release_330/ad/src/org/compiere/translate/AmtInWords_EN.java,49,64,QS,known snippet to convert numbers to strings name. orginally from Qualitas project
3911987_0_38_53.java,1,16,Compiere_330_Source/release_330/ad/src/org/compiere/translate/AmtInWords_FR.java,49,69,QS,known snippet to convert numbers to strings name. orginally from Qualitas project
4083418_0_1_28.java,1,28,apache-log4j-1.2.16/apache-log4j-1.2.16/src/main/java/org/apache/log4j/DailyRollingFileAppender.java,105,132,QS,question is about log4j. answer copies snippet to explain behaviour
598007_0_1_13.java,1,13,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jface/dialogs/ProgressMonitorDialog.java,252,264,QS,author of answer sayd he copied from Eclipse
6025026_0_212_233.java,1,22,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/ShortestPathDemo.java,158,179,QS,answer says he copied this specific class and edited a bit to provide solution
6149818_0_1_20.java,1,20,spring-framework-3.0.5/spring-framework-3.0.5.RELEASE/projects/org.springframework.core/src/main/java/org/springframework/util/DefaultPropertiesPersister.java,67,86,QS,answer copies code from spring to explain behaviour
6722760_1_13_37.java,1,25,jgraph-latest-bsd-src/examples/org/jgraph/example/HelloWorld.java,14,37,QS,SO answer copies code from jgraph examples
7504040_0_5_17.java,1,13,eclipse_SDK/eclipse_SDK-4.3/src/src/junitsrc/org/junit/rules/ExternalResource.java,8,20,QS,authors says he copied form junit
7504040_0_5_17.java,1,13,junit-4/org/junit/rules/ExternalResource.java,8,20,QS,author asks a question says he copied from junit
801987_0_1_18.java,1,18,hadoop-1/hadoop-1.0.0/src/core/org/apache/hadoop/util/StringUtils.java,41,57,QS,answer says he copied from hadoop
8802082_2_1_20.java,1,20,junit-4/org/junit/internal/runners/statements/ExpectException.java,12,31,QS,author of answer says he copied code from JUnit
10042010_0_30_41.java,1,12,jung2-2_0_1/jung-algorithms-2.0.1/edu/uci/ics/jung/algorithms/layout/TreeLayout.java,85,96,QS,SO says he based on TreeLayout to answer question
10042010_0_42_55.java,1,14,jung2-2_0_1/jung-algorithms-2.0.1/edu/uci/ics/jung/algorithms/layout/TreeLayout.java,97,110,QS,SO says he based on TreeLayout to answer question
11187462_0_62_82.java,1,21,apache-log4j-1.2.16/apache-log4j-1.2.16/contribs/JimMoore/LoggingOutputStream.java,49,65,QS,SO says he copied from log4j
12427981_1_34_50.java,1,17,apache-log4j-1.2.16/apache-log4j-1.2.16/contribs/JimMoore/LoggingOutputStream.java,49,65,QS,"SO says the solution is copy and paste, and the whole class is too similar to the one in log4j for not being a clone."
12593810_0_1_12.java,1,12,poi-3.6-20091214/poi-3.6/src/ooxml/java/org/apache/poi/extractor/ExtractorFactory.java,49,60,QS,"question tags apache-poi. even error string is the same, very likely copy and paste"
12593810_0_1_12.java,1,12,poi-3.6-20091214/poi-3.6/src/ooxml/java/org/apache/poi/ss/usermodel/WorkbookFactory.java,18,29,QS,"question tags apache-poi. even error string is the same, very likely copy and paste"
12617195_0_7_20.java,1,14,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/org/apache/tomcat/util/http/fileupload/servlet/ServletFileUpload.java,12,25,QS,SO copies code from ServletFileUpload.java
12936580_0_47_62.java,1,16,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/plot/XYPlot.java,1802,1820,QS,SO answer says he merged two classes from jfreechart to achieve solution
12936580_0_63_197.java,1,135,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,389,524,QS,SO answer says he merged two classes from jfreechart to achieve solution
13460384_0_1_12.java,1,12,spring-framework-3.0.5/spring-framework-3.0.5.RELEASE/projects/org.springframework.web.servlet/src/main/java/org/springframework/web/servlet/support/WebContentGenerator.java,99,110,QS,SO copies from spring to assist in reply
13592651_0_65_76.java,1,12,jung2-2_0_1/jung-algorithms-2.0.1/edu/uci/ics/jung/algorithms/layout/TreeLayout.java,85,96,QS,SO says he extended TreeLayout to achieve solution
13592651_0_77_90.java,1,14,jung2-2_0_1/jung-algorithms-2.0.1/edu/uci/ics/jung/algorithms/layout/TreeLayout.java,97,110,QS,SO says he extended TreeLayout to achieve solution
15131432_0_5_22.java,1,18,struts2-2.2.1-all/struts-2.2.1/src/core/src/main/java/org/apache/struts2/views/freemarker/FreemarkerManager.java,144,162,QS,SO is based on FreemarkerManager.java
15131432_0_23_42.java,1,20,struts2-2.2.1-all/struts-2.2.1/src/core/src/main/java/org/apache/struts2/views/freemarker/FreemarkerManager.java,163,177,QS,SO is based on FreemarkerManager.java
16207578_0_1_10.java,1,10,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/javax/servlet/http/HttpServlet.java,31,40,QS,SO posts code from HttpServlet to assist in reply
16207578_0_1_10.java,1,10,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/javax/servlet/http/HttpServlet.java,51,60,QS,SO posts code from HttpServlet to assist in reply. NOTE: consolidate these clones.
16207578_0_1_10.java,1,10,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/javax/servlet/http/HttpServlet.java,61,70,QS,SO posts code from HttpServlet to assist in reply. NOTE: consolidate these clones.
16207578_0_1_10.java,1,10,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/javax/servlet/http/HttpServlet.java,71,81,QS,SO posts code from HttpServlet to assist in reply. NOTE: consolidate these clones.
16860613_0_96_117.java,1,22,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jface/viewers/StyledString.java,96,117,QS,"although SO question was deleted, the snippet is the exact same class as the eclipse class"
16860613_0_118_165.java,1,48,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jface/viewers/StyledString.java,118,165,QS,"although SO question was deleted, the snippet is the exact same class as the eclipse class"
16860613_0_189_204.java,1,16,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jface/viewers/StyledString.java,189,204,QS,"although SO question was deleted, the snippet is the exact same class as the eclipse class"
16860613_0_215_225.java,1,11,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jface/viewers/StyledString.java,215,225,QS,"although SO question was deleted, the snippet is the exact same class as the eclipse class"
16928749_0_68_97.java,1,30,hadoop-1/hadoop-1.0.0/src/mapred/org/apache/hadoop/mapreduce/lib/output/TextOutputFormat.java,73,99,QS,SO question is about hadoop. The answer mentions TextOutputFormat in Hadoop. SO extends hadoop class to provide solution
16930707_0_22_37.java,1,16,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-envers/src/test/java/org/hibernate/envers/test/integration/basic/RegisterUserEventListenersTest.java,23,35,QS,SO copies from hibernate to assist reply
16930707_0_41_59.java,1,19,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-envers/src/test/java/org/hibernate/envers/test/integration/basic/RegisterUserEventListenersTest.java,40,53,QS,SO copies from hibernate to assist reply
17697173_0_1_19.java,1,19,lucene-4.3.0/lucene-4.3.0/analysis/common/src/java/org/apache/lucene/analysis/synonym/SlowSynonymFilterFactory.java,38,52,QS,SO copies from lucene to assist in reply
17994928_0_1_16.java,1,16,junit-4/org/junit/runners/ParentRunner.java,124,137,QS,SO copied from JUnit to assist in reply.
18647984_0_48_63.java,1,16,hadoop-1/hadoop-1.0.0/src/mapred/org/apache/hadoop/mapreduce/lib/input/SequenceFileRecordReader.java,36,50,QS,SO says he was based on haddop code to come up with solution
18687201_0_1_10.java,1,10,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/javax/servlet/http/HttpServlet.java,31,40,QS,original implementation of doPost in java servlet
18687201_0_1_10.java,1,10,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/javax/servlet/http/HttpServlet.java,61,70,QS,original implementation of java servelet doPost. Apache copied this code to its code base and cloned over several other methods
18687201_0_1_10.java,1,10,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/javax/servlet/http/HttpServlet.java,71,81,QS,original implementation of java servelet doPost. Apache copied this code to its code base and cloned over several other methods
18687201_0_1_10.java,1,10,eclipse_SDK/eclipse_SDK-4.3/src/src/javax/servlet/http/HttpServlet.java,32,41,QS,original implementation of java servelet doPost. Eclipse copied this code to its code base and cloned over several other methods
18687201_0_1_10.java,1,10,eclipse_SDK/eclipse_SDK-4.3/src/src/javax/servlet/http/HttpServlet.java,61,70,QS,original implementation of java servelet doPost. Eclipse copied this code to its code base and cloned over several other methods
18687201_0_1_10.java,1,10,eclipse_SDK/eclipse_SDK-4.3/src/src/javax/servlet/http/HttpServlet.java,71,81,QS,original implementation of java servelet doPost. Eclipse copied this code to its code base and cloned over several other methods
18970685_0_1_10.java,1,10,lucene-4.3.0/lucene-4.3.0/core/src/java/org/apache/lucene/store/FSDirectory.java,35,44,QS,SO copies from lucene to assist reply.
19567163_0_1_10.java,1,10,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/ui/texteditor/AbstractDecoratedTextEditor.java,1351,1360,QS,SO says he copied code from the eclipse class to assist in reply
20470045_0_1_12.java,1,12,hibernate-release-4/hibernate-release-4.2.2.Final/project/documentation/src/main/docbook/devguide/en-US/chapters/events/extras/AuditInterceptor.java,16,32,QS,SO question mentions hibernate. same person who submit question later submitted right answer. he says he based on hibernate class to find solution
20470045_0_1_12.java,1,12,hibernate-release-4/hibernate-release-4.2.2.Final/project/documentation/src/main/docbook/devguide/en-US/chapters/events/extras/AuditInterceptor.java,43,58,QS,SO question mentions hibernate. same person who submit question later submitted right answer. he says he based on hibernate class to find solution
20470045_1_1_12.java,1,12,hibernate-release-4/hibernate-release-4.2.2.Final/project/documentation/src/main/docbook/devguide/en-US/chapters/events/extras/AuditInterceptor.java,16,32,QS,SO question mentions hibernate. same person who submit question later submitted right answer. he says he based on hibernate class to find solution
20470045_1_1_12.java,1,12,hibernate-release-4/hibernate-release-4.2.2.Final/project/documentation/src/main/docbook/devguide/en-US/chapters/events/extras/AuditInterceptor.java,43,58,QS,SO question mentions hibernate. same person who submit question later submitted right answer. he says he based on hibernate class to find solution
20913543_1_1_15.java,1,15,spring-framework-3.0.5/spring-framework-3.0.5.RELEASE/projects/org.springframework.beans/src/main/java/org/springframework/beans/factory/support/AutowireUtils.java,30,43,QS,SO posts code from spring to assist in reply
20957626_0_1_15.java,1,15,lucene-4.3.0/lucene-4.3.0/core/src/java/org/apache/lucene/search/FieldValueHitQueue.java,49,60,QS,SO claims the code is from hibernate. Qualitas snippet is from lucene. SO answer says the code is from Hibernate-Search sourcecode which is actually from lucene.
22315734_0_10_21.java,1,12,hadoop-1/hadoop-1.0.0/src/core/org/apache/hadoop/io/serializer/DeserializerComparator.java,16,26,QS,SO posts code from hadoop to assist in reply
22315734_0_10_21.java,1,12,hadoop-1/hadoop-1.0.0/src/core/org/apache/hadoop/io/WritableComparator.java,44,54,QS,SO posts code from hadoop to assist in reply
22692838_1_1_16.java,1,16,lucene-4.3.0/lucene-4.3.0/queryparser/src/java/org/apache/lucene/queryparser/classic/QueryParserBase.java,668,680,QS,SO says he based on lucene code to reach solution (from Apache Solr's ClientUtils.escapeQueryChars()).
22692838_1_1_16.java,1,16,lucene-4.3.0/lucene-4.3.0/queryparser/src/java/org/apache/lucene/queryparser/flexible/standard/QueryParserUtil.java,59,72,QS,SO says he based on lucene code to reach solution (from Apache Solr's ClientUtils.escapeQueryChars()).
24330611_0_180_193.java,1,14,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/TreeCollapseDemo.java,127,138,QS,SO question is about jung. SO answer says he writes solution based on jung code
24330611_0_197_213.java,1,17,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/TreeCollapseDemo.java,142,157,QS,SO question is about jung. SO answer says he writes solution based on jung code
24330611_0_256_269.java,1,14,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/L2RTreeLayoutDemo.java,170,181,QS,SO question is about jung. SO answer says he writes solution based on jung code
24330611_0_256_269.java,1,14,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/RadialTreeLensDemo.java,199,211,QS,SO question is about jung. SO answer says he writes solution based on jung code
24330611_0_256_269.java,1,14,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/TreeCollapseDemo.java,199,211,QS,SO question is about jung. SO answer says he writes solution based on jung code
24330611_0_256_269.java,1,14,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/TreeLayoutDemo.java,161,172,QS,SO question is about jung. SO answer says he writes solution based on jung code
24330611_0_320_333.java,1,14,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/VertexCollapseDemoWithLayouts.java,247,258,QS,SO question is about jung. SO answer says he writes solution based on jung code
249149_0_1_11.java,1,11,spring-framework-3.0.5/spring-framework-3.0.5.RELEASE/projects/org.springframework.transaction/src/main/java/org/springframework/jca/cci/core/CciTemplate.java,193,203,QS,SO posts code from springer to assist in reply
2513183_0_96_105.java,1,10,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jdt/ui/actions/GenerateToStringAction.java,102,111,QS,SO posts the exact same Eclipse class to assist in reply
2513183_0_168_181.java,1,14,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jdt/ui/actions/GenerateToStringAction.java,175,188,QS,SO posts the exact same Eclipse class to assist in reply
25651812_0_43_83.java,1,41,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/demo/BarChartDemo1.java,56,87,QS,SO copies the exact same example as in the jfreechart code base
25719073_2_1_10.java,1,10,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/swt/widgets/Composite.java,481,490,QS,SO copies code from eclipse swt to assist in reply
25775172_0_26_35.java,1,10,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/demo/BarChartDemo1.java,19,28,QS,SO copies code from jfreechart to assist in reply
6025026_0_47_93.java,1,47,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/ShortestPathDemo.java,42,82,QS,SO says he copied code from jung example to find solution
6025026_0_70_88.java,1,19,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/ShortestPathDemo.java,58,77,QS,SO says he copied code from jung example to find solution
6025026_0_105_114.java,1,10,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/ShortestPathDemo.java,90,99,QS,SO says he copied code from jung example to find solution
6025026_0_119_128.java,1,10,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/ShortestPathDemo.java,104,113,QS,SO says he copied code from jung example to find solution
6025026_0_137_153.java,1,17,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/ShortestPathDemo.java,121,137,QS,SO says he copied code from jung example to find solution
6025026_0_221_230.java,1,10,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/ShortestPathDemo.java,167,176,QS,SO says he copied code from jung example to find solution
6092014_0_1_10.java,1,10,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/ui/internal/registry/ViewParameterValues.java,8,17,QS,SO posts code from eclipse to assist in reply
609430_0_1_17.java,1,17,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/main/java/org/hibernate/event/internal/DefaultLoadEventListener.java,277,293,QS,SO copies code from hibernate to assist in reply
6722760_1_38_56.java,1,19,jgraph-latest-bsd-src/examples/com/jgraph/example/mycellview/MyCellView.java,53,73,QS,SO says he copied and modified code from jgraph to provide solution
6722760_1_38_56.java,1,19,jgraph-latest-bsd-src/examples/org/jgraph/example/GroupingRemoving.java,52,70,QS,SO says he copied and modified code from jgraph to provide solution
6722760_1_38_56.java,1,19,jgraph-latest-bsd-src/examples/org/jgraph/example/HelloWorld.java,38,56,QS,SO says he copied and modified code from jgraph to provide solution
7099864_1_13_27.java,1,15,spring-framework-3.0.5/spring-framework-3.0.5.RELEASE/projects/org.springframework.web.servlet/src/main/java/org/springframework/web/servlet/tags/form/OptionTag.java,84,98,QS,SO question is about spring. SO answer provides solution class that is similar to the one in spring not only in the method that is reported as clones but also other 3 methods in the rest of the class.
8065120_1_1_11.java,1,11,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/ui/forms/widgets/FormToolkit.java,287,297,QS,SO copies code from eclipse to assist in reply
8584917_0_1_12.java,1,12,poi-3.6-20091214/poi-3.6/src/ooxml/java/org/apache/poi/xssf/usermodel/XSSFCell.java,229,240,QS,SO posts code from apache POI to assist in reply
9003314_0_70_83.java,1,14,spring-framework-3.0.5/spring-framework-3.0.5.RELEASE/projects/org.springframework.web/src/main/java/org/springframework/web/bind/WebDataBinder.java,95,108,QS,SO solution says the cloned method is copied from WebDataBinder
968656_1_1_11.java,1,11,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jdt/internal/junit/wizards/MethodStubsSelectionButtonGroup.java,207,217,QS,SO posts code from eclipse to assist in reply
968656_1_1_11.java,1,11,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jdt/internal/ui/wizards/dialogfields/DialogField.java,36,46,QS,SO posts code from eclipse to assist in reply
10274267_0_1_12.java,1,12,hibernate-release-4/hibernate-release-4.2.2.Final/project/documentation/src/main/docbook/devguide/en-US/extras/flush_and_clear_session.java,1,12,QS,answer posts code from hibernate to explain
10289462_0_1_45.java,1,45,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/org/apache/jasper/runtime/JspRuntimeLibrary.java,252,296,QS,answer posts code from tomcat to explain
10737817_0_1_13.java,1,13,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-entitymanager/src/main/java/org/hibernate/ejb/criteria/QueryStructure.java,78,90,QS,SO copies code from hibernate to assist answer
10774468_0_10_69.java,1,60,weka-3-7-9/main/java/weka/core/NormalizableDistance.java,145,204,QS,SO copies code from weka to assist answer
10774468_0_42_59.java,1,18,weka-3-7-9/main/java/weka/attributeSelection/ReliefFAttributeEval.java,443,460,QS,SO copies code from weka to assist answer
10774468_0_42_59.java,1,18,weka-3-7-9/main/java/weka/clusterers/FarthestFirst.java,181,198,QS,SO copies code from weka to assist answer
10774468_0_42_59.java,1,18,weka-3-7-9/main/java/weka/core/NormalizableDistance.java,177,194,QS,SO copies code from weka to assist answer
10777586_0_1_15.java,1,15,weka-3-7-9/main/java/weka/core/Instances.java,1078,1092,QS,SO copies code from weka to assist answer
10930216_1_1_15.java,1,15,weka-3-7-9/main/java/weka/core/Instances.java,1078,1092,QS,SO copies code from weka to assist answer
11861598_0_1_18.java,1,18,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jface/wizard/WizardDialog.java,377,394,QS,SO copies code from eclipse to assist answer
11958726_0_53_62.java,1,10,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/ChartPanel.java,1253,1262,QS,SO code expands on jfreechart code to allow more features
12427981_1_17_32.java,1,16,apache-log4j-1.2.16/apache-log4j-1.2.16/contribs/JimMoore/LoggingOutputStream.java,32,47,QS,SO posts what he calls a copy and paste solution. the whole class is too similar to log4j to not be copied from there
12936580_0_83_94.java,1,12,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java,466,477,QS,SO question mentions jfreechart. SO answer says he used code from different classes that seem to be from jfreechart
12936580_0_102_113.java,1,12,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java,484,495,QS,SO question mentions jfreechart. SO answer says he used code from different classes that seem to be from jfreechart
12936580_0_150_187.java,1,38,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java,532,569,QS,author asks a question tagging jfreechart
14330686_0_1_12.java,1,12,hibernate-release-4/hibernate-release-4.2.2.Final/project/documentation/src/main/docbook/devguide/en-US/extras/flush_and_clear_session.java,1,12,QS,SO answer posts code from hibernate to assist reply
14582029_0_1_12.java,1,12,hibernate-release-4/hibernate-release-4.2.2.Final/project/documentation/src/main/docbook/devguide/en-US/extras/flush_and_clear_session.java,1,12,QS,SO answer posts code from hibernate to assist reply
14845581_1_1_10.java,1,10,hadoop-1/hadoop-1.0.0/src/mapred/org/apache/hadoop/mapreduce/JobSubmissionFiles.java,46,55,QS,SO answer copies code from hadoop to assist reply
15110171_0_2_24.java,1,23,struts2-2.2.1-all/struts-2.2.1/src/xwork-core/src/main/java/com/opensymphony/xwork2/validator/validators/StringLengthFieldValidator.java,4,26,QS,questions tags struts. the whole snippet is too similar not to be a clone from struts
15168494_0_1_29.java,1,29,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/main/java/org/hibernate/service/jdbc/connections/internal/ConnectionProviderInitiator.java,65,93,QS,answer posts code from hibernate to assist in reply
15889119_0_1_16.java,1,16,jgrapht-0/jgrapht-0.8.1/src/org/jgrapht/experimental/touchgraph/TouchgraphConverter.java,7,22,QS,SO answer copies from jgrapht to assist in reply
